rating,title,review,country,date
4,Nice,"A bit annoying to wear with my glasses (they keep sliding off my face) and somewhat hard to breathe in BUT I won't be running any marathons with the mask on... or off for that matter. Haha The delivery was quick considering there is a high demand, about a week for me just waiting for it to be shipped, but once it was, the next day it was here. The quality is good... So, overall, I'm happy and will be buying masks from these guys and gals in the future. Thanks.",Canada,2020-06-05
4,a decent cloth mask,"It's an alright mask which I still use to this day. I have a small face, so the one-size aspect kind of made it look big on me, but I guess its better than being too small. Plus it seems to do a good job covering the overall mouth/jaw region tightly. I noticed after you hand-wash it (which is recommended every time after use), it becomes REALLY wrinkly and not as smooth as it was first received/packaged. I tried to smooth it out with a steamer, but it still had prominent wrinkles throughout. I ordered the pink colored mask, where the wrinkles were very obvious when worn. Overall, I recommend to anyone who's interested in getting this mask to go for the darker colors so the wrinkles are not too obvious. The pros of this product are the adjustable straps which feel nice, and the included pocket for reusable filters.",Canada,2020-08-30
3,Wouldn't buy again,They are too small from top to bottom,Canada,2020-05-29
3,If I was to buy another mask it would not be this brand,"The other comments about the mask being small, difficult to breathe through, and uncomfortable are to a certain degree true. The mask does seem to work but there is no way I could wear it for a prolonged period of time. I find it too uncomfortable.",Canada,2020-07-01
2,Very very small fit. Only possible wearer would be a child,Masks a very small. Wouldn’t not fit a man. According to the pictures I thought it would be larger. Very hard to get it to sit on your nose and stay on your chin. The straps also pull your ears forward so mask could not be worn for a significant amount of time.,Canada,2020-06-29
5,Perfect mask,"I LOVE this mask, i had bought one from fb market place and it would not sit on my face properly, always cause my glasses to fog up, and it wasn’t adjustable, and it was the same price as this. This one, is AMAZING, i wear it everyday (obviously after washing it & drying it) and it’s still in a brand new condition. I wear it to work for 5-8 hours straight and forget i have it on sometimes tbh. AND it doesn’t fog up my glasses and doesnt hurt my ears!!! I got the navy one because it’s prime and it’s perfect bc it doesnt mess up my outfits (for all my fashionistas out there).",Canada,2020-10-05
1,Can’t breathe!,"This mask is super suffocating. I could not breathe and when I did it sucked the fabric right up against my face (I’m not that heavy of a breather) it also fogs up my glasses big time.
It fits my face just fine but it always feels like it’s one movement away from falling off.
Disappointed and sticking with the disposable masks from now on.",Canada,2020-07-08
4,Some issues but overall it’s okay.,"Love the different patterns that Weddingstar has to offer. The ear loops are adjustable and very easy on my sensitive ears, no pain after my 9 hour shifts. The nose strip is okay, doesn’t hold the mask super close to the nose, but compared to other masks it’s average. My only complaints are that at the seam that runs down the centre of the mask the “extra” material that is inside the layers, sticks up and makes the mask stick out a bit, not a big deal. And the inner layer of fabric bunches up a lot, that’s my big issue with the mask.",Canada,2020-11-27
1,I'll keep looking,Unfortunately this mask is pretty small. If you have a small face it could potentially works for you. Other major dislike is that it states it has a nose wire however when you try to bend it doesn't stay in place at all. It does not fit around the nose so air comes out the top into your eyes. The wire is super weak and doesn't contour to the face. Was excited to try all the other awesome designs but I will have to keep looking for a fun mask.,Canada,2020-08-12
5,Good mask,"Nice mask. My first time i bought it came as a three pack. I went to order more then it was switched to only single masks.

I would have ordered more the first time but I wasn't sure how the quality would be.

Make packs again!
Also would be nice if they included filters with purchase instead of having to buy separate.",Canada,2020-07-19
4,A decent Face Mask!,"It fits well with the metal nosepiece and adjustable straps at the back. Its 2 ply with an insert to put in a filter or a piece of cloth for the added 3rd play. It does the job and looks decent. I'm happy I bought them for my wife and I. If you have found this review to be helpful, please let me know. Thanks.",Canada,2020-07-29
4,It’s really good,It’s not as bad as the reviews portray them. They do need filters and they’re a little bit small but 100% better than other useless masks that I bought that were literally for little kids it couldn’t fit me while they offered 3-6 masks it was still small so none of them were useful it was a waste of money but I bought 2 of these masks and they work just fine. I love the black with flower print because it’s big and fits my face perfectly. The navy Blue is a little small but still covers mouth and nose well,Canada,2020-07-07
3,Filters were totally missing,"I’m kind of disappointed, it said it came with filters but it came with zero. Absolutely none. It is light as a feather very thin. However, out of two different brands I bought, this one was the most comfortable. But because there’s no filters, I’m going to permanently sew in a layer of cotton to make it thicker, and then I don’t have to worry about filters, I can just wash it over and over again.",Canada,2020-08-10
3,Disappointed,"We saw the strong reviews for this product so we decided to order 4 for the family. One was the Black floral print. Not only was the colour of the floral print washed out /faded but the print itself was not properly aligned and part of the print was actually cut off the side of the mask. We also ordered a grey one which did not have the elastic band properly sewn in. The first time i went to put it on, the elastic strap tore away from the mask. I expected better",Canada,2020-08-22
1,DO NOT RECOMMEND THIS PRODUCT (UNBREATHABLE),"I rarely write reviews but this mask disappointed me and my girl friend very much! I bought them because I saw many good reviews. I just think that I need to write something true and you should take it as a reference. Every time after using the mask, I wash them by hand very carefully and let them dry by themselves, however they become very wrinkled after several times' washing. The main problem is that it is too difficult for me to breathe when wearing it, the material is made of real cotton but not breathable enough as a wearing mask. Wearing a disposable mask is much much more comfortable than wearing this. I bought one for myself and one for my girl friend, both of us feel uncomfortable in breathing when wearing it, especially when we were talking to people or wearing a little bit longer like 20 minutes in store. Also, the price is too high for what I got. For the similar quality, I can buy three with the same price. I would recommend doing more research before buying this product.",Canada,2020-10-23
1,"Glasses fog, very hot and hard to breathe comfortably.","I was hopeful for this mask based on what I read. Sadly my glasses fogged immediately and the material was thick enough to make it hot and hard to breathe. I would prefer to wear a disposable mask over this. The quality seemed great, it’s just not comfortable or particularly breathable fabric.",Canada,2020-07-04
2,A tight fit for adults!,"I bought a kids and adult sized masks. When I lay them on top of each other, they were exactly the same size. Ear loop lengths were the same as well! This mask fit ok for me since I have a small face, however it was pretty tight for my husband. Also, the material is quite thin. The lining is nearly see through. Overall, they were fairly disappointing. Kudos to Amazon for shipping them in one day though!",Canada,2020-06-20
3,Essential Apparel,"The Lone Ranger rides again! This is a relatively overpriced mask that accepts matching 'filters'. It shares one major shortcoming that all masks do for glass wearers. Eye glass fog. As a result, while I'm being responsible health wise, I'm often blinded in-store. Ideas anyone? Amazon?",Canada,2020-07-11
2,Too small for a mans face,"I should have listened to the reviews before purchasing these. The fit is too small for a mans face. I purchased 3 different colours and all 3 fit the same. Doesn't sit under the chin. Not good protection. Would be okay for a smaller face. The material is a good quality, but fit isn't good.",Canada,2020-12-08
4,Good quality but not designed for average / larger male faces,Well made mask. Good stitching and washes well. Inside pocket very useful for purchased filters or coffee filters. Adult masks fit my wife and teens well but too short in the vertical direction for an average male face. If you try to talk with the mask on it either pulls off your nose or comes up from under your chin. Could use another inch in the vertical direction. Would be great if the company offered a larger size taking this into consideration. Would be 5 stars if it wasn't for the size issue.,Canada,2020-07-15
2,Too small for an adult woman,"Material is nice, but it fits very small. It’s great that it’s adjustable, but if it’s too small when it’s set as long as it can go it isn’t very useful.",Canada,2020-06-15
5,perfect for men.,"Purchased the navy blue for my husband as masks are now mandatory in my city. the adult size fit him perfectly where as they are too big for me and i had to go to a kids size.
Excellent thickness, I don't think filters are even necessary,since it passes the flame test without, but there is a pouch for filters.",Canada,2020-07-25
5,Good as it gets.,"Just got this and it's about as good as you'll get for a reusable mask. You can put additional filters in it but it didn't come with any. Is the adult size small? Not for me, fits perfect. I'm glad I ordered 2.",Canada,2020-06-12
2,"Too small, hard to breath","This is not adult sized, I don't have a large face but it barely fits and pulls my ears. Also it is not easy to breath in it, it gets hot so fast and your face starts to sweat especially during summer, it is not something people can use outdoors.",Canada,2020-06-29
4,Light and practical,"I purchased a dozen of these masks so far and will be buying more for myself and kids. I would recommend the Adult sized for a child 10 years plus as the child's size is too small. I love everything about this mask, especially the access to the pocket to add a filter. I think it's really important to add a filter of some sort for added protection. The only thing I would change in the design of this mask is to make it a bit wider from ear to ear to increase coverage. That said, I am still content with wearing this mask (with a filter).",Canada,2020-09-07
5,Must have.,"I love these. They feel soft, and I can add in my filters no problems for that extra protection. I wish them every time I go out (once a week). The material holds up, its easy to wear for a few hours without any discomfort. Definitely recommend for everyone.",Canada,2020-08-26
3,Ok .,"I give it 3 star because the title said it'll come with filters so I bought it BUT mine just came with the mask so it is a bit deceiving. People said it's small , yes it is on the smaller size.

The missing 2 star reason
1. Did not come with filter
2. Bit pricey if there no filter and bit small but still wearable.",Canada,2020-06-17
2,Not big enough for a large person,"I ordered this mask because most masks pull my ears forward. I thought the adjusters meant that this one would be better. I ended up pulling the adjusters off completely, and the loops were still too short. I had to stretch the entire mask aggressively to be able to use it. Not worth the price.",Canada,2020-10-05
4,REASONABLE MASK,The mask is thick enough and passes the candle blow out test. It shrinks a bit after washing. It could be larger to ensure full coverage of the nose and mouth and wrap around the face. The shrinkage makes it awkward to insert the filters.,Canada,2020-08-26
1,Far too small for my adult face. Good quality but sizing is wrong.,Good quality 3 layer mask. The option for the filter is nice. The mask is well built however it is much too small and barely stays over my chin. Other similar masks I own fit much tighter to my face. I do not recommend this mask for the average sized adult. It's much better suited to smaller people or children.,Canada,2021-02-03
3,"Too small, def not for even an average guy.","Too small, I am an average male and it's too small.

For all who want a point of reference - it's about 1 inch shorter in height than regular doctor masks, so it only covers your nose and mouth- does not actually hug your chin= lots of places for non filtered air to run.

If you are a guy dont buy it. If you are a guy with 5mm+ beard definitely don't buy it.",Canada,2020-07-20
5,Comfortable and easy to breathe through,"First washable mask that I can stand on my face longer than 30 minutes. Unlike cotton ones I have used, these stay dry and comfortable. While it was not an issue for me, the elastic adjustable straps are helpful but they may not adjust enough for someone with a larger head. (I wear a 7 3/8 cap or medium ballcap). That said, try one. You will be satisfied with your purchase.",Canada,2020-09-02
5,Very comfortable and fits well,Great mask and great quality. Adjustable nose piece. The only con would be that they are a little hard to breath in but that is because they are good quality cloth. I purchased a second one for my boyfriend and I so clearly they are worth it lol,Canada,2020-07-28
4,Overall well-done and I am happy with the purchase.,"Mask is ok, well stitched and comfortable. My only disappointment was that the pocket was a bit too wide for the filter and so, the filter was moving up and down and you have to always make sure filter is positioned on your nose. But perhaps, the filters are made too narrow... Either way, mask itself is made well, i just wished filter fit a bit better.",Canada,2020-09-27
1,Hard to breath,"As a Transit Operator who has to wear a face mask at least 8 hours a day. I found it noticeably harder to breath in comparison to other face masks. Feel, construction is great just the material is too thick.",Canada,2020-12-13
5,Easy to Use,"I bought this mask for my husband and he likes it. He wears it every time he goes out with no problem at all; however, he had to shave his beard back close to his face. Also, he hand-washed the mask and let it drip dry resulting in a mask which was ready to go again. Good value and more importantly he wears it!",Canada,2020-07-06
1,Mask too Small,"Just received this mask in the mail. I accidentally ordered Navy instead of black - that's my bad, but the mask it's self is tiny. It covers my nose but does not sit under my chin like the photos suggest, it sits on the curve of my chin so as soon as I speak or smile the thin pops up to below my chin. Giving it 1 star because it arrived so quickly.",Canada,2020-08-14
4,Tight Mask,The mask works good and definitely straps good around your face. But after wearing for a while it pushes hard against your nose which makes it uncomfortable. This also fogs up my glasses sometimes. I would go for a larger mask next time.,Canada,2020-08-01
2,Not a mask for the adult male,"I ordered two of these, but when I got them I found they're quite small. Just barely covered from the tip of my nose to the point of my chin. If I talked either it slid off my nose or up from my chin. Not very comfortable to wear and doesn't seem to stretch at all. Luckily they fit my wife just fine. Be aware if you're an adult male it may not fit you properly. Very disappointing purchase.",Canada,2020-11-15
2,Inconsistent Sizing,"I bought one of these and I loved it, so I ordered a few more. The sizing is crazy on these. The first one fits perfectly. The other four are all totally different sizes and all too big. I might be able to modify them myself to fit properly, but overall I'm pretty unimpressed.",Canada,2020-09-30
2,"Comfortable, but suffocating","This mask is adjustable and fits well. However, it is made of a few layers of very light material, which causes it to suction right up against the nostrils and mouth when inhaling, creating that awful suffocating feeling.",Canada,2020-11-25
1,"Do not buy, not worth the money, too small, it's dark blue not even black;","the whole product is a lie lol, it's a kid mask, it's dark blue, its really hard to breath through this bc of how ridiculous small and thick it is... do yourself a favor and look for a different mask. medical masks not made of tissue are ten times better than this.",Canada,2020-07-24
5,Easy to wear and breathe in,Mask was easy to wear. Son had a black one given to him for his workplace. One day he had left his behind and asked to use one of ours. He never returned it and asked if I would order him another one 😊,Canada,2020-09-25
1,Small and not breathable,"The mask is really small. I'm 5'1 with a small head and this mask barely covers my face. Because it's so small, the material presses right against my nose and mouth leaving no room to breath. The outside material on the mask is some plasticy synthetic fabric which isn't breathable and gets hot almost immediately.

Save your money and wrap a bandana around your face instead. It'll be more comfortable.",Canada,2020-08-26
5,Nice Fit!!!,"Love these masks! Got one just to try it out because most masks tend to fit weird, and I love it and!!!!! I ended up buying the entire family one (5 of us) and recommending them to friends. Super nice! The ear elastics are adjustable, and there's a pocket for filters if desired!! LOVE these!",Canada,2020-08-09
3,Nose piece isn't strong enough,"The mask is pretty comfy if not wearing glasses, but the nose piece is a very thin wire that doesn't hold it's shape. As soon as I bend it to shape around my nose it just bends back straight, useless if you're wearing glasses. The ear loops are also very small, I've had to take off the adjusters just to make the mask fit comfortably. I'm a woman with a normal sized head.",Canada,2020-09-24
3,To Small for an average size adult male,They are too small for an average size male. If I open my mouth to talk it falls off my nose or comes up from under my chin. It needs to have a bit more play in the fit so that you can actually move your mouth. Other than that is appears well made. It is 3-ply and with an added filter obviously the airflow is restricted somewhat. I would not want to workout in it.,Canada,2020-11-13
3,Nice but..,"It looks nice honestly but after about an hour of wearing its difficult to breathe and I tend to get a headache.

However I think that's just the price you pay for wearing a decent looking mask.

Worth it",Canada,2020-07-17
1,Don't buy this,"Ordered 2, thinking they came in packs of 3 at least. Refuse to open up the second one. Horrible product. Extremely thin. No filter included, you have to buy that separate. Way to expensive for such a thin mask which is impossible to breathe through. Don't waste your money",Canada,2020-07-21
2,Size made too smll,"Ordered an additional ""adult"" size mask in this color but seems was made a little smaller and isn't the same size as previous ones. Make sure u get what you order.!",Canada,2020-07-24
5,Fits well!,"I think if we have to wear a mask this is as comfortable as it gets for me, fits well, cute prints, no complaints!",Canada,2020-07-19
5,This is the mask you are looking for,"This mask is comfortable, functional and even stylish. Excellent quality materials and it has a ""pouch"" area inside if you want to insert an extra filter.

Highly recommended and I would definitely buy again.",Canada,2020-07-23
1,Not for an adult,This is for a child. To small. Not as described in description for size,Canada,2020-07-29
4,Well made but definitely fits small,"Well made.. But definitely fits small. I bought 3 different ones and they are all different sizes. 2 fit my wife perfectly but the navy colour fits like a childs mask and I had to remove the adjustment beads from the straps because it's just too tight.
I don't recommend for men.",Canada,2020-07-20
5,"As expected! Comfortable & light, love the nose wire","Exactly what I expected. Good size for a woman, and the nose wire is a great addition to keep it stuck to your face as much as possible. Light weight fabric & easy to clean, has held up to many washings now. Thank you!

For a man, I would recommend to others to get a different mask in a larger size however.",Canada,2020-09-30
4,Pas adapté si vous portez des lunettes,"Vraiment pas confortable pour quelqu’un qui porte des lunettes, car le métal à l’intérieur accroche à la hauteur des lunettes. Autrement, sans lunette, rien à redire.",Canada,2020-08-21
3,Fit on small faces better,"I found them (I ordered 4 in total, different colours) but found them to be on the small side. One of them the ear strap broke first time used but I restitched it. Not meant for bigger faces. Two came in one delivery, and the other 2 in a different delivery even though all made by same company and 2 had a delivery charge and the other 2 did not.",Canada,2020-07-18
3,This product did not fit well,"I bought this for my husband and son, but it did not fit well. Although I bought the larger size, the package did not show the size. Very disappointing.",Canada,2021-01-23
2,Very small,"Clearly made for a small head and face. Didn't need the adjuster, made the loops too tight, and if you open you mouth a touch it slips off your nose or chin. Just ordered a 60 pack of filters before trying it on. Should be a good fit for a small child.",Canada,2020-08-27
3,Smaller in size but comfortable,"Even the adult sizes are somewhat small! I have a smaller face, but these almost don't fit me. If you have a larger or longer face, these might not fit!

The adjustable ear straps are comfortable, they're easy to wash (I machine wash and air dry them), and fairly comfortable overall. Easy to put a filter in.",Canada,2020-08-15
2,Adult Size too small,"The mask isn't bad, but even the adult size was too small for me (male) to be particularly effective. and the filters don't fit in particularly well (They were much smaller than the mask pocket itself, so they aren't too effective). As an ""only option"" early in the pandemic it was suitable, but with the many other options available I'd suggest looking elsewhere.",Canada,2020-11-12
5,Fantastic mask & great fit,Perfect fit. The adjustable elasticized bands make this mask so easy to customize the fit & the wired top is great for securing a snug fit around my nose.,Canada,2020-08-02
3,Good shape. Inside fabric loose,"Face mask has a good shape. Like the nose piece with wire so can fit to nose, also adjustable ear straps were good.

What I didn’t like about it is the fabric on the inside was loose and so when you would inhale the fabric would stick to your nose and mouth.",Canada,2020-08-24
3,made small,i bought adult size but it's small for me as a woman. i would have liked it to be a bit bigger. it's well made but thats about all i can say for it.,Canada,2020-07-02
5,Well-made mask,"These aren't the heaviest-duty masks, but they are comfortable to wear, well constructed, and available in a nice range of colours and patterns.",Canada,2020-09-16
5,Honestly the best masks i've boughten,"I have now bought at least 10 of these masks in different colours and patterns for myself, my family and friends. I love how many styles there are for expression. These masks are durable, easy to breathe in, and the straps DO NOT hurt your ears - which is a huge win. The price point in reasonable and they are a great buy!",Canada,2020-09-26
2,"Smelly mask, too small for adults","The mask is way too small for an adult. It's WAY TOO TIGHT, to the point that will pull down your ears.
The mask i got smelled like onions and curry😠. I wonder if they send me an used mask🤮",Canada,2020-07-13
5,Covid 19 makes mask a fashion accessory,"So global pandemic. When masks became mandatory in all public areas, ordered three masks. Didnt know how good quality these were until I had to wear a spare cheap mask. This is a Cadillac.",Canada,2020-07-26
1,Worst mask I’ve ever purchased.,I ordered because it said it was a large and I have a beard. It wouldn’t even fit my face if I didn’t have a beard. If I place it to the bottom of my chin (not beard) it touches my nose but does not cover it. It’s the worst fitting mask I currently own and didn’t feel nice behind the ears at all. Super rough. Total waste,Canada,2020-11-18
5,"Really great product, after several washes","Buying re-usable masks, I was concerned that they wouldn't be usable after a few washes, but these are so well made they are as good as new even after several washes! Not too heavy, the filters fit perfectly.

Solid product",Canada,2020-06-23
5,Good quality,"Nice cotton masks and shipped very quickly. I'm 5'8"" & my wife is 5'3"" and the mask fits perfectly. If you are larger than this, think twice as this may be too small for you.",Canada,2020-06-17
5,Protection,Tres confortable et pas trop chaud. Respire correctement. Bien construit avec bande élastique ajustable et aussi renfort pour le nz,Canada,2020-07-29
4,Good,"This face mask is pretty good, the unfortunate part is that the picture shows the mask being black. I didn't read properly and thought it was the black one instead of the navy. My boyfriend still likes it though.",Canada,2021-02-02
1,Not breathable,"The mask looks nice but that's about it. The mask was not very breathable, it felt uncomfortably difficult to breath in these and that was without even using a filter with it, so I imagine using a filter would be even harder to breath.
I ended up throwing it in the bin as its just not feasible to actually use.",Canada,2020-11-10
3,Not great for an everyday mask,Difficult to breathe through as the lining isn't stitched tight to the outer layer and goes in your nose when breathing. My mask significantly shrunk after the 1st wash. Fit is good and comfortable and it stays in place. Great color selection which is good if you need a specific color for an outfit.,Canada,2020-09-23
1,Waste of money,"Too small, the measurements in the image don't match the actual mask dimensions. The metal nose bridge is uncomfortable.",Canada,2020-11-18
3,"Nose wire not stiff enough, difficult to instal filter","Lightweight mask with adjustable elastic which is a good feature. However, the nose wire is too soft and cannot mold to your nose and it is very difficult to instal a paper filter. After I glued in a stiffer nose wire to close tightly around my nose the mask worked well.",Canada,2020-08-22
3,expensive,"Ive realized after months of using this facemask that this is very expensive. I was able to order 2 mask pack for less than this price and they look
exactly the same.",Canada,2020-08-06
2,Hard to Breathe and fogs glasses,"The nose wire isnt adjustable and is too flat to lock my breath from fogging up my glasses.
It's too thick even without a filter which makes it difficult to breathe.",Canada,2020-07-14
5,Masked for style and saftety,I bought 3 differently designed masks for my family no one will mistake each other’s mask. I love that they can be washed and reused.,Canada,2020-07-13
2,Small,"Size is very small. I’m male not a large face, fit is small. Cannot wear to a degree that offers any protection. Cannot return. However it appears to be of quality construction. Need a size range for different people.",Canada,2020-11-24
2,Ok,They shrink if put into the dryer. Otherwise I like them but I don’t like how breathtaking is so restrictive,Canada,2021-02-04
5,Perfect fit,Perfect fit and very affordable. I will buy some more of these for sure. I have a beard and it fits perfect.,Canada,2021-01-28
2,Small,States it is an adult size mask but it’s too small. We ordered two adult masks the one for my wife was perfect but mine is too small. Even for a regular face I ain’t even fat.,Canada,2020-06-22
2,Not for Adult Males,My Husband found this mask to small. The sides of the Mask didn’t come across the sides of his face or under his chin enough. They don’t fit as seen in the picture for adult male because young female models are used. The Nose clip and quality of material was good.,Canada,2020-07-29
